space_id;space_name;space_longname;spatialzone_name;spatialzone_longname;spatialzone_type;storey_id;storey_name;building_id;building_name;parent_id;parent_name;parent_type;parent_longname
65d681d3-06bc-4853-be8c-94f762e8ecfa;ROOM:1721438;ROOM;Apartment 04.HSTO.AS5;Apartment 04.HSTO.AS5;Private Parts - Apartment;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;IfcBuildingStorey;Level_04
65d681d3-06bc-4853-be8c-94f762e8ecc5;ROOM:1721441;ROOM;Apartment 04.HSTO.AS5;Apartment 04.HSTO.AS5;Private Parts - Apartment;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;IfcBuildingStorey;Level_04
65d681d3-06bc-4853-be8c-94f762e8ecc0;ROOM:1721444;ROOM;Apartment 04.HSTO.AS6;Apartment 04.HSTO.AS6;Private Parts - Apartment;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;IfcBuildingStorey;Level_04
65d681d3-06bc-4853-be8c-94f762e8ecc3;ROOM:1721447;ROOM;Apartment 04.HSTO.AS6;Apartment 04.HSTO.AS6;Private Parts - Apartment;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;IfcBuildingStorey;Level_04
65d681d3-06bc-4853-be8c-94f762e8ecce;ROOM:1721450;ROOM;Apartment 04.HSTO.AS6;Apartment 04.HSTO.AS6;Private Parts - Apartment;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;IfcBuildingStorey;Level_04
65d681d3-06bc-4853-be8c-94f762e8ecc9;ROOM:1721453;ROOM;Apartment 04.HSTO.AS6;Apartment 04.HSTO.AS6;Private Parts - Apartment;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;IfcBuildingStorey;Level_04
bb5ff938-1bb6-4260-baa2-106c2f52876c;SAUNA:1702219;SAUNA;Fitness Center 00;Fitness Center 00;;be768381-8d69-4d59-bdb6-bc2a005db3ad;Basement;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db3ad;Basement;IfcBuildingStorey;Basement
b8ecb908-5f21-4971-9efe-e7c685540c15;SAUNA:1718397;SAUNA;Apartment 02.HSTO.AS2;Apartment 02.HSTO.AS2;Private Parts - Apartment;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;05587af9-f099-4553-a05b-106372672cd3;;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;IfcBuildingStorey;Level_02
c54f3399-552a-417f-a507-cf8cda4a2f6a;SAUNA:1721364;SAUNA;Apartment 03.HSTO.AS4;Apartment 03.HSTO.AS4;Private Parts - Apartment;fa6d430e-becf-4766-8734-2958fea68219;Level_03;05587af9-f099-4553-a05b-106372672cd3;;fa6d430e-becf-4766-8734-2958fea68219;Level_03;IfcBuildingStorey;Level_03
65d681d3-06bc-4853-be8c-94f762e8eceb;SAUNA:1721423;SAUNA;Apartment 04.HSTO.AS6;Apartment 04.HSTO.AS6;Private Parts - Apartment;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;IfcBuildingStorey;Level_04
